Window,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_LFn,HRV_HFn,HRV_LFHF,HRV_VLF,HRV_LF,HRV_HF,HRV_ApEn,HRV_SampEn,HRV_DFA_alpha1,HRV_DFA_alpha2,HRV_SD1,HRV_SD2,HRV_SD1SD2
Window_1,816.9185450819672,26.852162034149803,30.7381290863694,0.33663572539610775,0.4468395349904188,0.7533705033582715,0.012502974966414592,0.03783070138558223,0.05021526754358675,1.2290199060426406,1.4881337463791378,0.6734388314177029,0.6539879520796447,21.76335893259784,30.38742919580685,0.7161961215067498
Window_2,816.6716202445652,31.49075295460777,35.58295765576812,0.40621609563193367,0.3820442952966959,1.0632696277180789,0.011801372417154378,0.05600944912937944,0.05267661905248185,1.224982310447174,1.5231208806436047,1.0365528289937394,0.7517586585865682,25.195271910224402,36.78149497211757,0.6849985822850275
Window_3,831.0112847222222,48.73999949474147,64.05266660976382,0.3675755932859732,0.44936687154266886,0.8179855182116395,0.008844365665684913,0.03881972525008908,0.04745771702041937,1.036134651678175,1.1269698268266197,0.7799370950157277,0.6621322043323828,45.3552348805357,52.015510367740546,0.8719559715915912
Window_4,844.3111795774648,35.4976904429999,47.438969920301005,0.4452098536526648,0.3389289239822047,1.31357881299042,0.0055939215023428435,0.04315002173472125,0.032849206540175785,1.1944308047343157,1.4826734881131203,0.6778456471449306,0.7252370289193601,33.59186434478515,37.391388650544854,0.8983850441803707
Window_5,871.8226129737609,42.632076198332605,47.23624961640652,0.544666620471744,0.14280240392196974,3.81412781236765,0.00888436386873806,0.017992113786273987,0.004717228858438606,1.040975534919935,1.1322288994670948,0.9815804308759717,0.6690390147445591,33.449350698085546,50.116032085508465,0.6674381292001317
Window_6,889.6368117559524,22.852518760099287,16.75594577306814,0.4686250588139484,0.17195273893037985,2.7253131396975605,0.01565643900685536,0.021868354962319522,0.008024162304059616,1.1304931586844167,1.327173238112093,1.296920366004209,0.8777867355640223,11.86586307998325,30.007979639551113,0.3954235914084601
Window_7,885.7132951183432,37.224107464160056,39.642394459972145,0.5072260814375589,0.3819266691888493,1.3280719110682304,0.006349802116898623,0.03788656235739926,0.028527493158804425,1.115922847255383,1.4146605870070175,0.9642817876279396,0.6942988641885897,28.07301155261844,44.60133919162398,0.6294208214692011
Window_8,891.020275297619,22.116206970745807,18.75315777202801,0.5885792976951796,0.1851486052831486,3.1789561514388005,0.01096562016433672,0.03463142813678891,0.010893962196085868,1.230277967493557,1.5738107347909491,1.2240831680962823,0.9258714319450042,13.280298113557125,28.331421514411748,0.4687480332323476
Window_9,886.1177884615385,31.90669879718478,21.990277537911204,0.6277786499635681,0.13069325841420948,4.803450901606058,0.009435923404975998,0.027774262024986306,0.005782147583875551,1.1556540211984254,1.7043510304901075,1.345500818579699,0.8215168894157115,15.57259627497302,42.41705141332033,0.36713057028010954
Window_10,896.0399513473054,34.60064213549373,21.03688914744471,0.7788930419927448,0.10720756564103105,7.265280554926085,0.002787662477092237,0.021368953363620553,0.0029412426955944242,1.1534676801022758,1.6262193893961039,1.3986724820093728,0.8094602856283156,14.89767567029844,46.63988170144139,0.3194192422198625
Window_11,893.4669723053893,28.37760776333893,20.63554229671024,0.5592870182624098,0.14346784936214074,3.898343919902644,0.010113756274403503,0.020514699635695716,0.005262414003792678,1.158679884400955,1.5144493967080328,1.2364229619692684,1.0715723285845757,14.613488206230898,37.43519493173897,0.39036762685162435
Window_12,891.289645522388,27.754432283129347,20.420887698108107,0.4647061368991103,0.14974010938666676,3.1034179072163073,0.014799258528671297,0.019366768681266657,0.006240464307508682,1.1669315874023858,1.5322817303079879,1.2507763372348422,1.0203066245068588,14.461413219878143,36.551130875082386,0.39564885883563095
Window_13,891.9852120535714,29.32213535423284,26.326182097029758,0.522144832484155,0.29498514472149484,1.7700716182746392,0.006428490531166359,0.02656158608196218,0.01500593863419653,1.199473103069335,1.6568666060052115,1.053100682930527,0.6572413921169017,18.64267593986458,36.95532974065942,0.5044651494302138
Window_14,895.6691066066066,42.509971624751415,39.1177602350114,0.39924735034888975,0.1684145455294571,2.3706227338840997,0.014693430127138921,0.014811998830477966,0.0062481467923027716,1.0782842074504049,1.1692938743193948,1.0958649755840775,0.946358877470776,27.702165099204876,53.42981773808703,0.5184776267626607
Window_15,888.9342350746268,36.9333664325643,34.5063484281389,0.36400255050743335,0.2536476531476827,1.4350716278675684,0.017993208620894385,0.01953528712888432,0.013612761028460022,1.03504289390649,1.9085587369743058,0.8662373343681844,1.2055136263179476,24.433439253995964,45.52269754247074,0.5367309182677632
Window_16,897.9330893393393,44.76016077450125,41.153222295628815,0.3609669469346562,0.3633386301417506,0.9934725267000398,0.010587005498058695,0.016554007238587444,0.016662773044740283,1.0390832141163866,1.2290574661627136,0.8804621614979056,1.0076627168146235,29.143616909786328,56.22277630463208,0.5183596190959578
Window_17,908.0547112462006,43.89726533508479,23.4563488104791,0.42393237020306657,0.06534635757428467,6.487467487704225,0.012085996175530403,0.010262609673216882,0.001581913079744558,1.0028723502396186,1.1268893847649712,1.5380627876825337,1.1484953400263704,16.6113115943086,59.87979159553212,0.2774109787574484
Window_18,892.7355410447761,35.82765378699264,29.133071891815113,0.5042147949683912,0.27872646485521785,1.808995049071861,0.0039992465091620195,0.011283017433161444,0.006237174302356664,1.0486489677317898,1.5760359860498516,1.019301323655653,0.7587989219312421,20.631040876855963,45.704512446411016,0.4514005242052644
Window_19,899.7865052552553,45.35273201551638,33.42111511454715,0.5507281824607171,0.12225070980367353,4.504907851620246,0.006560737125168058,0.012174186047193098,0.0027024273188661343,0.9388772175245661,1.1449068844575876,1.2150302030047713,0.969375169475549,23.667931877683614,59.70754161902504,0.39639769509689765
Window_20,907.3390151515151,52.54498945356542,33.421535191140975,0.46074869412362274,0.10036403620256072,4.590774858772241,0.011308764125425426,0.012417381997788787,0.0027048553631553386,1.016932910494544,1.34763528797014,1.3448574837604605,1.1306859202556863,23.668538283154668,70.49618854191817,0.33574209858283294
Window_21,928.3530667701864,77.4357563533299,38.084026294505975,0.34104782974574377,0.09990287687217532,3.4137938808520087,0.007108787885226681,0.004412822200633165,0.001292644592687541,1.0286326934284822,1.1711631793266852,1.3678557631352988,1.2625023172266265,26.971071611555875,106.24363652810158,0.2538605839646875
Window_22,892.1175373134329,64.56982853010885,47.06175372765188,0.4427468334544013,0.1641021843736098,2.697994759450636,0.0033007501888581464,0.004181962589298507,0.0015500262091502487,0.9886053297800839,1.1321724851604116,0.9741355094959565,1.0514875044898742,33.32483138236483,84.68319286767407,0.3935235582630688
Window_23,903.5356873111782,51.09812505381003,48.481487388863734,0.4664820761219298,0.23375784329680105,1.9955782853867285,0.008400823311684279,0.015721169847443227,0.007878002062142392,1.0102557321716068,1.53023167490553,1.0269375217001626,0.8543926212928602,34.333279207353556,63.63794981870543,0.5395095113083263
Window_24,923.4302662037037,53.218092426128315,47.71157113628884,0.3715816967030388,0.16397885168499884,2.266034265301737,0.01396134113127297,0.012607289583768892,0.005563591767704427,1.0236830916389534,1.5099083170870673,1.136969785644272,0.9242513131268784,33.78904310230086,67.259279144115,0.5023699857071291
Window_25,931.8414135514018,51.581270382191484,47.042040426674546,0.4222254180561643,0.2769323734497529,1.5246517147724283,0.0064097747456375725,0.011261216204710982,0.007386090931850522,1.0918564451415351,1.6785052690426832,0.9318617171495337,0.9655487716143812,33.31446843772092,64.79042541311382,0.5141881416166462
Window_26,911.3233612804878,39.40901325299498,47.45771376705576,0.4045047392694221,0.40537436291978296,0.9978547640652526,0.00737867687172502,0.02088989702678977,0.020934807127326316,1.1711210624332073,1.6013763077630736,0.757859768061201,0.6931326001595179,33.60903249312859,44.547063408621725,0.7544612354093767
Window_27,906.2144886363636,39.73990706367808,45.99757817868805,0.3595106373948154,0.41781864995203594,0.8604466015006413,0.009476169875761614,0.023443229443341283,0.027245420462415307,1.1749843966596796,1.5181552197132273,0.8423540568919424,0.8243650435470469,32.57474172685759,45.89590276647198,0.709752717853808
Window_28,883.2720588235294,31.540533688217863,28.634308153493127,0.3590825630849536,0.22041871409689304,1.6290929041855577,0.010849451052420758,0.009620498950587102,0.005905432971851741,1.1970189038166819,1.7651746354169937,1.0477346830984422,0.908684819985437,20.277384185551735,39.78227592586777,0.5097090026557958
Window_29,882.3746312684366,30.719467719656524,21.43441188112083,0.3642384586975656,0.3626224110916825,1.004456557445024,0.005082786669481338,0.007305073489932973,0.0072726624519376445,1.178948955592868,1.7059280333782738,1.0770220102804713,1.0942086861993394,15.178780490382305,40.75345661076487,0.3724538174848434
Window_30,882.651179941003,29.484974489319043,25.490440891709493,0.3170921241031021,0.3620701175497984,0.875775460976809,0.00559773947051753,0.006679260843647469,0.007626681885100614,1.1231383696333168,1.5477024765236456,0.8273105176454066,0.9691008576788586,18.049833783894904,37.14610515247602,0.4859145719263052
Window_31,874.0862573099415,37.644539167007395,21.767588525455142,0.37475796134523426,0.12538310947393952,2.9889030740869167,0.007634247983723116,0.005868624383874409,0.001963470958544623,1.0962484750660773,1.6180959751772148,1.1919648750346028,1.2672174067889457,15.414626010785918,50.97115361500386,0.3024186214660928
Window_32,881.4412794985251,39.29136630065256,36.007577353233756,0.38873711443772324,0.24239619988898664,1.6037261088076393,0.017277684179317975,0.02163343854244132,0.013489484534566597,1.1371327086373135,1.2583560082441019,0.9325500848822555,1.097736937115858,25.498819063838912,49.433665776525324,0.5158188991913198
Window_33,891.942630597015,28.92761267430053,20.80870979653309,0.5164789967816911,0.17943542960569622,2.8783557289473856,0.010766538369571997,0.019186069977589426,0.006665635447570537,1.1797513616188655,1.6798711874830208,1.2096795248740952,1.0475218913503126,14.735907345906426,38.206905648073175,0.38568701379902454
Window_34,892.3973880597015,22.631305831444728,19.497303958339977,0.45242056741260356,0.22944952595661863,1.9717650996504625,0.014820260985840461,0.022891306528654638,0.011609550515278219,1.1877452712058045,1.5276078941864681,1.0495426101714345,0.9748186208826831,13.80664313408377,28.806470699461727,0.4792896456538759
Window_35,884.3219948377581,20.43310942058803,19.603923596613047,0.3178991720782867,0.23672415043336492,1.342909760141991,0.013855681652579117,0.010382155613388507,0.00773108955012045,1.2891258007731312,1.6124274512824663,0.9924968873604764,0.9951125218266479,13.882423541239179,25.313479036628504,0.5484202120598028
Window_36,879.5496323529412,24.24068597842081,19.46083360893858,0.4438972974393771,0.22674913666454677,1.9576581590080313,0.0075540302942373,0.010975271532226733,0.005606326866478075,1.2641468393140518,1.6461599103900468,1.1909257693273683,0.9875128888728192,13.78075522129156,31.34063028795982,0.4397089367595053
Window_37,871.868166909621,29.25650464637835,19.661027175184238,0.42638579090921686,0.13384699363950464,3.185620978963625,0.016771587313685676,0.01683294246370627,0.005284038049367228,1.1645741305841573,1.5745713425894394,1.1783845549355818,1.1655225265504423,13.922815535312957,39.025681728658476,0.3567603413597449
Window_38,876.5076754385965,20.753167996210966,19.718221634081004,0.33954948723464184,0.26471404496906736,1.2827029531973613,0.01154364650345234,0.010787649294046612,0.008410091570426739,1.2702500110499457,1.6011440260281653,0.9559734691302122,1.00326807425121,13.963318514873613,25.838629978165166,0.5404047554639414
Window_39,859.442349137931,29.108005631062273,23.873415274838795,0.4077263993024105,0.24265107600976787,1.6802991604537436,0.0030517784020362543,0.004003211711898803,0.0023824398691110376,1.140109564752847,1.6599537025710023,0.9430159807131717,1.2276917699973136,16.905428937221767,37.591071347392926,0.4497192639441551
Window_40,863.6302233429395,29.602162500501805,21.473595725988215,0.3317190197028503,0.13912026231168495,2.3844047889995146,0.012544785996245988,0.008223277052116331,0.003448775598025359,1.1553393926233504,1.6078237070795591,1.0497052128285544,1.152702183070237,15.206081584127006,39.054187249030974,0.38935854655391156
Window_41,856.2298531518625,26.79197383542224,19.534617166648587,0.5540705862896516,0.24773591843975593,2.2365371552869497,0.0026014397528905343,0.008487530655008077,0.003794942836046522,1.1755739916360826,1.6143381672519403,1.0701575086918613,1.1077997314975694,13.832947208681137,35.33035855726762,0.391531469635641
Window_42,852.653133903134,25.467036615787784,19.488793139538277,0.3571621443078394,0.19587144253924021,1.8234518502424708,0.0046688514213394285,0.003915879702474803,0.002147509242952642,1.210078473368704,1.5845349217287503,1.0353080045875382,1.0810529677211185,13.800241896779918,33.29491459197271,0.41448497663685574
Window_43,855.6919642857143,22.050398987810702,17.572838766586347,0.4158951879769965,0.20125227770993293,2.0665365515834346,0.006889984386996801,0.007951245898624431,0.0038476192896428458,1.221664157501848,1.5002003495492624,1.0627253448390523,1.0733132761992767,12.44350946255385,28.611107772387253,0.43491882808407556
Window_44,842.6606514084507,44.82143972217426,21.16042441750531,0.5499790350997614,0.15299297744281162,3.5947992142668257,0.003371526205195282,0.006583261423196181,0.0018313293819217842,1.0446834057892058,1.17054651176681,1.3851063516488213,1.2471281569320078,14.983727818351738,61.669677129374975,0.24296750876314502
Window_45,834.2509575208913,43.80674002536085,19.65199235747336,0.3368529082016263,0.06763433305063726,4.980501662512548,0.015755616902563305,0.009011457803049225,0.0018093474139115441,0.9947997028891931,1.0609911217912185,1.4075557468796849,1.4028388989013272,13.913701725172684,60.29189559765921,0.2307723382595533
Window_46,854.7879464285714,44.437057419763015,13.945359371284397,0.6468334196892255,0.0651103446644402,9.934418609251985,0.0010871521876006508,0.0025266106864100172,0.00025432899355146653,0.8755851718210512,0.9145610357121096,1.5474861323435392,0.9301668830429757,9.87420163050809,61.98596920873782,0.1592973661064604
Window_47,918.5439033742331,47.633552146786556,17.729383934234715,0.5684652959849231,0.03739165767415416,15.202997977216116,0.017592562378729804,0.02573511431057489,0.0016927657524616307,0.9003921263938612,0.9633036922476024,1.6780772017330587,1.0642076664110547,12.555873288897324,66.17357203959507,0.1897415070987024
Window_48,917.1659317484663,48.79348774416265,19.653463786877765,0.29078683822869655,0.04450291787606412,6.534107247495701,0.015087573705289941,0.006665842924875604,0.001020161235864378,0.9611447984454502,1.0324621636361968,1.587555407406803,1.3334693037869985,13.918212192548179,67.5102194968555,0.20616452288673812
Window_49,915.053994648318,43.06663936022315,28.155072964339855,0.4366328776672796,0.125630217713041,3.4755402451392476,0.01675113380848338,0.017946469629866665,0.005163648919032339,0.9761464363364873,1.1090290495263655,1.3218683175869834,1.00480055471937,19.937399032380842,57.305935352244994,0.34791158908463365
Window_50,928.7776591614906,39.26006978875422,21.085455418912254,0.4688717450272487,0.08018974217689569,5.847028962793452,0.01352566312172524,0.014412261885403507,0.002464886351190223,1.0703134348762227,1.1844705610944948,1.456473349617778,1.1199481651756178,14.932824837329315,53.53059433322248,0.27895869685985564
